"37,936,530.26 ",""," 2,764,131 "," 42,000,980 ",""," 37,766,299.32 ",""," 4,234,658.91 ","","","","","","","","",""
"Project Details","Cost Center","Customer PO Number","Customer PO Value","Remaing Balance in PO","Vendor Name","Vendor Name","Cantik PO Date"," Cantik PO Value "," Remaining Bal In PO ","Vendor Invoice Frequency","Vendor Inv Number","Vendor Inv Date"," Vendor Inv Value Taxable "," Invoice Value Including GST "," TDS Ded "," Net Payble ","Payment Status from NTT"," Payment Value ","Payment Date"," Pending Payment ","Remarks","Cantik Invoice No","Cantik Invoice Date"," Cantik Inv Value Taxable "," Invoice Value Including GST "," TDS Ded "," Net Receivables ","Payment Recpt Date","Payment Advise No."
"Raptakos Resource Deployment - Anuj Kushwaha","Raptakos PT","4500095281","","","VRATA TECH SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/396","27-Jan-25"," 167,143.00 ","","Monthly","MAH/464/24-25","31-Jan-25"," 33,548.00 "," 39,587.00 "," 671 "," 38,916 ","3-Jun-25"," 38,915 ","12-Mar-25"," 1 ","","CTPL/24-25/1312","5-Feb-25"," 35,225.00 "," 41,566.00 "," 705 "," 40,862 ","3-Jun-25","45605656965"
"Raptakos Resource Deployment - Anuj Kushwaha","Raptakos PT","4500095281","","","VRATA TECH SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/396","27-Jan-25"," 167,143.00 ","","Monthly","MAH/558/24-25","28-Feb-25"," 65,000.00 "," 76,700.00 "," 1,300 "," 75,400 ","16-Apr-25"," 75,400 ","19-Apr-25"," -   ","","","","","","","","",""
"Raptakos Resource Deployment - Anuj Kushwaha","Raptakos PT","4500095281","","","VRATA TECH SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/396","27-Jan-25"," 167,143.00 ","","Monthly","MAH/650/24-25","31-Mar-25"," 65,000.00 "," 76,700.00 "," 1,300 "," 75,400 ","28-May-25"," 75,400 ",""," -   ","","","","","","","","",""
"Raptakos Resource Deployment - Anuj Kushwaha","Raptakos PT","4500098831","","","VRATA TECH SOLUTIONS PRIVATE LIMITED","CTPL/PO/25-26/104","6-Apr-25"," 130,000.00 ","","Monthly","M/2526/Jun/024","13-Jun-25"," 65,000.00 "," 76,700.00 "," 1,300 "," 75,400 ","21-Jul-25"," 75,400 ","6-Aug-25"," -   ","Payment Sent to finance on 01 Aug 25","","","","","","","",""
"Raptakos Resource Deployment - Anuj Kushwaha","Raptakos PT","4500098831","","","VRATA TECH SOLUTIONS PRIVATE LIMITED","CTPL/PO/25-26/104","6-Apr-25"," 130,000.00 ","","Monthly","M/2526/Jun/025","13-Jun-25"," 65,000.00 "," 76,700.00 "," 1,300 "," 75,400 ","21-Jul-25"," 75,400 ","6-Aug-25"," -   ","Payment Sent to finance on 01 Aug 25","","","","","","","",""
"Panasonic Resource Deploment - Shankar Bhuyan","GGN-NTT-PANASONIC-PT-01","4500095649","","","BCT Consulting Private Limited","CTPL/PO/24-25/400","30-Jan-25"," 1,904,748.00 "," 694,189.00 ","Monthly","210502280378","28-Feb-25"," 158,729.00 "," 187,300.00 "," 15,873 "," 171,427 ","23-Apr-25"," 171,427 ","25-Apr-25"," -   ","","","","","","","","",""
"Panasonic Resource Deploment - Shankar Bhuyan","GGN-NTT-PANASONIC-PT-01","4500095649","","","BCT Consulting Private Limited","CTPL/PO/24-25/400","30-Jan-25"," 1,904,748.00 "," 694,189.00 ","Monthly","210502280376","28-Feb-25"," 31,746.00 "," 37,460.00 "," 3,175 "," 34,285 ","23-Apr-25"," 34,285 ","25-Apr-25"," -   ","","","","","","","","",""
"Panasonic Resource Deploment - Shankar Bhuyan","GGN-NTT-PANASONIC-PT-01","4500095649","","","BCT Consulting Private Limited","CTPL/PO/24-25/400","30-Jan-25"," 1,904,748.00 "," 694,189.00 ","Monthly","210502280377","28-Feb-25"," 158,729.00 "," 187,300.00 "," 15,873 "," 171,427 ","23-Apr-25"," 171,427 ","25-Apr-25"," -   ","","","","","","","","",""
"Panasonic Resource Deploment - Shankar Bhuyan","GGN-NTT-PANASONIC-PT-01","4500095649","","","BCT Consulting Private Limited","CTPL/PO/24-25/400","30-Jan-25"," 1,904,748.00 "," 694,189.00 ","Monthly","210502280218","27-Mar-25"," 124,716.00 "," 147,165.00 "," 12,472 "," 134,693 ","23-Apr-25"," 134,693 ","25-Apr-25"," -   ","","","","","","","","",""
"Panasonic Resource Deploment - Shankar Bhuyan","GGN-NTT-PANASONIC-PT-01","4500095649","","","BCT Consulting Private Limited","CTPL/PO/24-25/400","30-Jan-25"," 1,904,748.00 "," 694,189.00 ","Monthly","210604280034","16-Apr-25"," 138,248.00 "," 163,133.00 "," 13,825 "," 149,308 ","23-Apr-25"," 149,308 ","25-Apr-25"," -   ","","","","","","","","",""
"Panasonic Resource Deploment - Shankar Bhuyan","GGN-NTT-PANASONIC-PT-01","4500095649","","","BCT Consulting Private Limited","CTPL/PO/24-25/400","30-Jan-25"," 1,904,748.00 "," 694,189.00 ","Monthly","210605280035","9-May-25"," 158,729.00 "," 187,300.00 "," 15,873 "," 171,427 ","30-Jun-25"," 171,427 ","28-Jul-25"," -   ","Sent to Finance on 24 July 2025","","","","","","","",""
"Panasonic Resource Deploment - Shankar Bhuyan","GGN-NTT-PANASONIC-PT-01","4500095649","","","BCT Consulting Private Limited","CTPL/PO/24-25/400","30-Jan-25"," 1,904,748.00 "," 694,189.00 ","Monthly","210606280030","9-Jun-25"," 148,488.00 "," 175,216.00 "," 14,849 "," 160,367 ","9-Jul-25"," 160,367 ","14-Jul-25"," -   ","Sent to Finance on 11 July 2025","","","","","","","",""
"HMSI Resource Deployment- Dotnet - Alok Kumar","GGN-NTT-HMSI-DOTNET-PT-01","4500098672","","","CANTICLE TECHNOLOGIES PRIVATE LIMITED","CTPL/PO/25-26/101","2-Jun-25"," 993,446.00 ","","Monthly","86/2025-2026","2-Jun-25"," 116,876.00 "," 137,914.00 "," 2,338 "," 135,576 ","2-Jul-25"," 135,576 ","2 Jul & 15 Jul"," 0 ","","","","","","","","",""
"Services - Proxy Server Management ","BMW - OA - PT","4500083044","","","Cinesonic Audio Visual Pvt Ltd","Without PO-83044",""," 325,440.00 ","","","RI/24-25/029","5-Aug-24"," 162,720.00 "," 192,010.00 "," 3,254 "," 188,756 ","8-May-24"," 188,169 ","29-Aug-24"," 587 ","","","","","","","","",""
"Services - Proxy Server Management ","BMW - OA - PT","4500083044","","","Cinesonic Audio Visual Pvt Ltd","Without PO-83044","","","","","RI/24-25/063","4-Feb-25"," 162,720.00 "," 192,010.00 "," 3,254 "," 188,756 ","1-Aug-24"," 189,321 ","7-Feb-25"," (586)","Round off 20/- by cash in last year","","","","","","","",""
"Services - Proxy Server Management ","BMW - OA - PT","4500094598","","","Cinesonic Audio Visual Pvt Ltd","Without PO-94598",""," 433,920.00 ","","","RI/24-25/063","4-Feb-25"," 162,720.00 "," 192,010.00 "," 3,254 "," 188,756 ","1-Aug-24"," 188,755 ","7-Feb-25"," 1 ","","","","","","","","",""
"Services - Proxy Server Management ","BMW - OA - PT","4500094598","","","Cinesonic Audio Visual Pvt Ltd","Without PO-94598","","","","","RI/25-26/006","9-May-25"," 271,200.00 "," 320,016.00 "," 5,424 "," 314,592 ","3-Jan-25"," 314,592 ","11 Jun 25 & 12 Aug 25"," -   ","GST Payment released on 12 Aug 25","","","","","","","",""
"Quess Corp Resource Deployment - Yallappa Satyappa Halagodi","NTT-Quesscorp-PT-01","4500097314","","","TRIBAL SOLUTIONS CONSULTING SERVICES PVT","CTPL/PO/25-26/081","27-May-25"," 546,241.45 ","","","INV/24-25/000249","28-May-25"," 546,241.00 "," 644,564.00 "," 10,925 "," 633,639 ","21-May-25","633,640","25 Jun 25 & 28 Jul 25"," (1)","Mail to finance to release gst amount on 22 Jul 25","","","","","","","",""
"Sun Phrma - Website AMC ","Sun Phrama PT","4500095362","","","CARMATEC IT SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/392","23-Jan-25"," 1,014,701.00 ","","Monthly","4253","27-Jan-25"," 149,950.00 "," 176,941.00 "," 2,999 "," 173,942 ","26-Feb-25","173,942","28-Feb-25"," -   ","","","","","","","","",""
"Sun Phrma - Website AMC ","Sun Phrama PT","4500095362","","","CARMATEC IT SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/392","23-Jan-25"," 1,014,701.00 ","","Monthly","4252","27-Jan-25"," 115,000.00 "," 135,700.00 "," 2,300 "," 133,400 ","26-Feb-25","133,400","28 Feb & 29 Mar"," -   ","","","","","","","","",""
"Sun Phrma - Website AMC ","Sun Phrama PT","4500095362","","","CARMATEC IT SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/392","23-Jan-25"," 1,014,701.00 ","","Monthly","4262","7-Feb-25"," 74,975.00 "," 88,471.00 "," 1,500 "," 86,972 ","12-Mar-25","86,971","21 Mar & 29 Mar"," 1 ","","","","","","","","",""
"Sun Phrma - Website AMC ","Sun Phrama PT","4500095362","","","CARMATEC IT SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/392","23-Jan-25"," 1,014,701.00 ","","Monthly","4281","10-Mar-25"," 74,975.00 "," 88,471.00 "," 1,500 "," 86,972 ","16-Apr-25","86,970","29-Mar-25"," 1 ","","","","","","","","",""
"Sun Phrma - Website AMC ","Sun Phrama PT","4500095362","","","CARMATEC IT SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/392","23-Jan-25"," 1,014,701.00 ","","Monthly","4299","2-Apr-25"," 74,975.00 "," 88,471.00 "," 1,500 "," 86,972 ","30-Apr-25","86,970","12-May-25"," 1 ","","","","","","","","",""
"Sun Phrma - Website AMC ","Sun Phrama PT","4500095362","","","CARMATEC IT SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/392","23-Jan-25"," 1,014,701.00 ","","Monthly","4307","28-Apr-25"," 74,975.00 "," 88,471.00 "," 1,500 "," 86,972 ","2-Jul-25"," 86,971 ","15-Jul-25"," 1 ","Sent to Finance on 11 July 2025","","","","","","","",""
"Sun Phrma - Website AMC ","Sun Phrama PT","4500095362","","","CARMATEC IT SOLUTIONS PRIVATE LIMITED","CTPL/PO/24-25/392","23-Jan-25"," 1,014,701.00 ","","Monthly","4325","3-Jun-25"," 74,975.00 "," 88,471.00 "," 1,500 "," 86,972 ","31-Jul-25"," 86,971 ","13-Aug-25"," 1 ","Sent to Finance on 1 Aug 2025","","","","","","","",""
"HCIL - MDM - Soti","HCIL PT","4500092529","","","Winnovation Education Services Pvt","CTPL/PO/24-25/247","1-Oct-24"," 1,634,844.00 ","","","24-25/034","19-Dec-24"," 371,561.00 "," 438,442.00 "," 7,431 "," 431,011 ","13-Nov-24"," 381,010 ","15-Jan-25"," 50,001 ","","","","","","","","",""
"HCIL - MDM - Soti","HCIL PT","4500097684","","","Winnovation Education Services Pvt","CTPL/PO/24-25/247","1-Oct-24"," 1,634,844.00 ","","","25-26/002","4-Apr-25"," 553,175.00 "," 652,747.00 "," 11,064 "," 641,684 ","30-Apr-25"," 636,773 ","25-Jun-25"," 4,911 ","","","","","","","","",""
"HCIL - MDM - Soti","HCIL PT","4500097799","","","Winnovation Education Services Pvt","CTPL/PO/25-26/039","29-Apr-25"," 245,500.00 ","","","25-26/08","9-May-25"," 245,500.00 "," 289,690.00 "," 4,910 "," 284,780 ","21-May-25"," 289,690 ","28-May-25"," (4,910)","","","","","","","","",""
"HCIL - MDM - Soti","HCIL PT","4500100035","","","Winnovation Education Services Pvt","CTPL/PO/24-25/454","20-Mar-25"," 50,000.00 ","","","25-26/10","21-May-25"," 50,000.00 "," 59,000.00 "," 1,000 "," 58,000 ","13-Aug-25","",""," 58,000 ","4494/- Need to hold against short PT Margin","","","","","","","",""
"HCIL - ITSM & NMS","HCIL PT","4500092808","","","SeaInfonet Pvt Ltd","CTPL/PO/24-25/235","21-Sep-24"," 3,053,531.00 ","","","SEA/K0817/24-25","4-Nov-24"," 282,917.00 "," 333,842.00 "," 5,658 "," 328,184 ","#N/A","328184","20-Dec-24"," (0)","","","","","","","","",""
"HCIL - ITSM & NMS","HCIL PT","4500092808","","","SeaInfonet Pvt Ltd","CTPL/PO/24-25/235","21-Sep-24"," -   ","","","SEA/K1407/24-25","28-Mar-25"," 229,642.00 "," 270,978.00 "," 4,593 "," 266,385 ","#N/A","266385","12-May-25"," 0 ","","","","","","","","",""
"HCIL - ITSM & NMS","HCIL PT","4500092930","","","SeaInfonet Pvt Ltd","CTPL/PO/24-25/235","21-Sep-24"," -   ","","","SEA/K1407/24-25","28-Mar-25"," 12,858.00 "," 15,172.00 "," 257 "," 14,915 ","#N/A","14915","12-May-25"," (0)","","","","","","","","",""
